Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,2022-09-08,18:45,Malmö se,0.6,0–2,1.8,pt Braga,13721,Eleda Stadion,Duje Strukan,Match Report,
Group stage,1,Thu,2022-09-08,18:45,Union Berlin de,0.5,0–1,0.8,be Union SG,21512,Stadion An der Alten Försterei,Serhiy Boiko,Match Report,
Group stage,1,Thu,2022-09-08,18:45,Zürich ch,1.2,1–2,2.3,eng Arsenal,17070,Kybunpark,Mohammed Al Hakim,Match Report,
Group stage,1,Thu,2022-09-08,18:45,PSV Eindhoven nl,1.4,1–1,0.8,no Bodø/Glimt,28627,Philips Stadion,Georgi Kabakov,Match Report,
Group stage,1,Thu,2022-09-08,19:45,Ludogorets bg,1.0,2–1,1.3,it Roma,10011,Huvepharma Arena,Craig Pawson,Match Report,
Group stage,1,Thu,2022-09-08,19:45,Fenerbahçe tr,1.4,2–1,0.5,ua Dynamo Kyiv,41895,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Tamás Bognár,Match Report,
Group stage,1,Thu,2022-09-08,19:45,HJK fi,0.2,0–2,2.7,es Betis,10164,Bolt Arena,Roi Reinshreiber,Match Report,
Group stage,1,Thu,2022-09-08,19:45,AÉK Lárnaka cy,1.1,1–2,1.5,fr Rennes,4103,AEK Arena - George Karapatakis,Giorgi Kruashvili,Match Report,
Group stage,1,Thu,2022-09-08,20:00,Manchester Utd eng,0.8,0–1,1.1,es Real Sociedad,74310,Old Trafford,Marco Di Bello,Match Report,
Group stage,1,Thu,2022-09-08,21:00,Sturm Graz at,2.4,1–0,0.7,dk Midtjylland,10521,Merkur Arena,Aghayev Aliyev,Match Report,
Group stage,1,Thu,2022-09-08,21:00,Freiburg de,1.6,2–1,1.0,az Qarabağ Ağdam,31500,Schwarzwald-Stadion,Erik Lambrechts,Match Report,
Group stage,1,Thu,2022-09-08,21:00,Ferencváros hu,2.1,3–2,1.5,tr Trabzonspor,17987,Groupama Arena,Fabio Maresca,Match Report,
Group stage,1,Thu,2022-09-08,21:00,Red Star rs,1.0,0–1,1.5,fr Monaco,40226,Stadion Rajko Mitić,Harm Osmers,Match Report,
Group stage,1,Thu,2022-09-08,21:00,Lazio it,2.7,4–2,2.6,nl Feyenoord,22763,Stadio Olimpico,Ricardo de Burgos,Match Report,
Group stage,1,Thu,2022-09-08,21:00,Nantes fr,1.2,2–1,0.3,gr Olympiacos,31276,Stade de la Beaujoire - Louis Fonteneau,Harald Lechner,Match Report,
Group stage,1,Thu,2022-09-08,22:00,AC Omonia cy,0.5,0–3,1.6,md Sheriff Tiraspol,11271,Neo GSP,Rade Obrenović,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Thu,2022-09-15,18:45,Real Sociedad es,1.1,2–1,0.2,cy AC Omonia,28587,Reale Arena,Kristo Tohver,Match Report,
Group stage,2,Thu,2022-09-15,18:45,Midtjylland dk,2.6,5–1,1.2,it Lazio,9052,MCH Arena,Nikola Dabanović,Match Report,
Group stage,2,Thu,2022-09-15,18:45,Feyenoord nl,1.4,6–0,0.3,at Sturm Graz,30025,Stadion Feijenoord,Jérôme Brisard,Match Report,
Group stage,2,Thu,2022-09-15,18:45,Monaco fr,1.4,0–1,0.3,hu Ferencváros,3931,Stade Louis II.,Espen Andreas Eskås,Match Report,
Group stage,2,Thu,2022-09-15,19:45,Trabzonspor tr,1.2,2–1,0.3,rs Red Star,24884,Şenol Güneş Stadyumu,Sascha Stegemann,Match Report,
Group stage,2,Thu,2022-09-15,19:45,Olympiacos gr,0.4,0–3,2.1,de Freiburg,23104,Stadio Georgios Karaiskáki,Matej Jug,Match Report,
Group stage,2,Thu,2022-09-15,19:45,Sheriff Tiraspol md,0.3,0–2,1.6,eng Manchester Utd,8734,Stadionul Zimbru,Paweł Raczkowski,Match Report,
Group stage,2,Thu,2022-09-15,20:00,Braga pt,1.0,1–0,0.7,de Union Berlin,17782,Estádio Municipal de Braga,Filip Glova,Match Report,
Group stage,2,Thu,2022-09-15,20:45,Qarabağ Ağdam az,1.9,3–0,0.6,fr Nantes,26495,Tofiq Bəhramov adına Respublika stadionu,Enea Jorgji,Match Report,
Group stage,2,Thu,2022-09-15,21:00,Union SG be,1.1,3–2,0.4,se Malmö,4373,King Power at Den Dreef Stadion,Bartosz Frankowski,Match Report,
Group stage,2,Thu,2022-09-15,21:00,Rennes fr,1.9,2–2,1.4,tr Fenerbahçe,20993,Roazhon Park,Aliaksei Kulbakou,Match Report,
