Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
FC Lugano,FC Luzern,"[2, 1]",2020-09-19 17:00:00,1,0,0
BSC Young Boys,FC Zurich,"[2, 1]",2020-09-19 17:00:00,1,0,0
FC Basel 1893,FC Vaduz,"[2, 2]",2020-09-20 14:00:00,0,0,1
Lausanne,Servette FC,"[2, 1]",2020-09-20 14:00:00,1,0,0
FC ST. Gallen,FC Sion,"[1, 0]",2020-09-20 14:00:00,1,0,0
FC Sion,BSC Young Boys,"[0, 0]",2020-09-26 17:00:00,0,0,1
FC Zurich,FC Lugano,"[2, 2]",2020-09-26 17:00:00,0,0,1
FC Luzern,Lausanne,"[2, 2]",2020-09-27 14:00:00,0,0,1
Servette FC,FC Basel 1893,"[1, 0]",2020-09-27 14:00:00,1,0,0
FC Vaduz,FC ST. Gallen,"[0, 1]",2020-09-27 14:00:00,0,1,0
Lausanne,FC Zurich,"[4, 0]",2020-10-03 17:00:00,1,0,0
FC Lugano,FC Sion,"[2, 2]",2020-10-03 17:00:00,0,0,1
FC Basel 1893,FC Luzern,"[3, 2]",2020-10-04 14:00:00,1,0,0
FC ST. Gallen,Servette FC,"[1, 0]",2020-10-04 14:00:00,1,0,0
BSC Young Boys,FC Vaduz,"[1, 0]",2020-10-04 14:00:00,1,0,0
Servette FC,BSC Young Boys,"[0, 0]",2020-10-17 17:00:00,0,0,1
FC Vaduz,FC Lugano,"[1, 1]",2020-10-17 17:00:00,0,0,1
FC Luzern,FC ST. Gallen,"[2, 2]",2020-10-18 14:00:00,0,0,1
FC Sion,Lausanne,"[0, 0]",2020-10-18 14:00:00,0,0,1
FC Zurich,FC Basel 1893,"[1, 0]",2020-11-04 17:00:00,1,0,0
FC Vaduz,FC Zurich,"[1, 4]",2020-10-24 17:00:00,0,1,0
BSC Young Boys,FC Luzern,"[2, 1]",2020-10-25 15:00:00,1,0,0
FC Basel 1893,Lausanne,"[2, 1]",2020-11-25 17:15:00,1,0,0
FC Lugano,FC ST. Gallen,"[1, 0]",2020-10-24 17:00:00,1,0,0
FC Sion,Servette FC,"[2, 0]",2020-11-25 17:15:00,1,0,0
Lausanne,FC Vaduz,"[3, 0]",2020-12-02 17:15:00,1,0,0
FC Luzern,FC Sion,"[2, 0]",2020-12-02 17:15:00,1,0,0
FC Lugano,BSC Young Boys,"[0, 2]",2021-01-20 17:00:00,0,1,0
Servette FC,FC Zurich,"[2, 1]",2020-12-02 17:15:00,1,0,0
FC ST. Gallen,FC Basel 1893,"[1, 3]",2020-11-01 15:00:00,0,1,0
Lausanne,FC Lugano,"[0, 1]",2020-11-07 18:00:00,0,1,0
FC Zurich,FC Luzern,"[2, 0]",2020-11-07 18:00:00,1,0,0
FC Basel 1893,FC Sion,"[4, 2]",2020-12-09 17:15:00,1,0,0
FC Vaduz,Servette FC,"[0, 2]",2020-12-09 17:15:00,0,1,0
BSC Young Boys,FC ST. Gallen,"[0, 0]",2020-11-08 15:00:00,0,0,1
FC Luzern,FC Vaduz,"[1, 1]",2020-11-21 17:15:00,0,0,1
BSC Young Boys,FC Basel 1893,"[2, 1]",2020-11-21 19:30:00,1,0,0
Servette FC,FC Lugano,"[1, 1]",2020-11-22 15:00:00,0,0,1
FC Sion,FC Zurich,"[2, 2]",2020-11-22 15:00:00,0,0,1
FC ST. Gallen,Lausanne,"[2, 2]",2020-11-22 15:00:00,0,0,1
Servette FC,FC Luzern,"[1, 3]",2020-11-28 19:30:00,0,1,0
FC Vaduz,FC Sion,"[4, 1]",2020-11-28 17:15:00,1,0,0
