Wo,Tag,Datum,Uhrzeit,Heim,Ergebnis,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
1,Sa.,16.07.2022,18:00,Young Boys,4–0,Zürich,31.120,Stadion Wankdorf,Sandro Schärer,Spielbericht,
1,Sa.,16.07.2022,20:30,FC Winterthur,1–1,Basel,8.400,Stadion Schützenwiese,Alain Bieri,Spielbericht,
1,So.,17.07.2022,16:30,Servette FC,1–0,St. Gallen,4.872,Stade de Genève,Lukas Fähndrich,Spielbericht,
1,So.,17.07.2022,16:30,Lugano,2–3,Sion,2.737,Stadio di Cornaredo,Fedayi San,Spielbericht,
2,Sa.,23.07.2022,18:00,Zürich,0–0,Luzern,12.905,Stadion Letzigrund,Luca Piccolo,Spielbericht,
2,Sa.,23.07.2022,20:30,St. Gallen,2–0,FC Winterthur,15.673,Kybunpark,Sven Wolfensberger,Spielbericht,
2,So.,24.07.2022,14:15,Basel,1–1,Servette FC,18.670,St. Jakob-Park,Alessandro Dudic,Spielbericht,
2,So.,24.07.2022,16:30,Grasshopper,2–1,Lugano,4.123,Stadion Letzigrund,Stefan Horisberger,Spielbericht,
2,So.,24.07.2022,16:30,Sion,0–3,Young Boys,8.500,Stade de Tourbillon,Alain Bieri,Spielbericht,
3,Sa.,30.07.2022,18:00,St. Gallen,2–0,Zürich,17.838,Kybunpark,Lukas Fähndrich,Spielbericht,
3,Sa.,30.07.2022,20:30,Sion,0–0,Servette FC,8.200,Stade de Tourbillon,Sven Wolfensberger,Spielbericht,
3,So.,31.07.2022,16:30,Young Boys,1–1,Grasshopper,26.210,Stadion Wankdorf,Sandro Schärer,Spielbericht,
3,So.,31.07.2022,16:30,FC Winterthur,1–4,Lugano,7.800,Stadion Schützenwiese,Luca Cibelli,Spielbericht,
4,Sa.,06.08.2022,18:00,Servette FC,1–0,FC Winterthur,4.624,Stade de Genève,Stefan Horisberger,Spielbericht,
4,Sa.,06.08.2022,20:30,Grasshopper,3–2,St. Gallen,6.678,Stadion Letzigrund,Luca Piccolo,Spielbericht,
4,So.,07.08.2022,14:15,Zürich,0–3,Sion,13.619,Stadion Letzigrund,Urs Schnyder,Spielbericht,
4,So.,07.08.2022,16:30,Basel,0–0,Young Boys,26.547,St. Jakob-Park,Lukas Fähndrich,Spielbericht,
4,So.,07.08.2022,16:30,Lugano,1–2,Luzern,3.060,Stadio di Cornaredo,Alain Bieri,Spielbericht,
1,Mi.,10.08.2022,19:00,Luzern,1–1,Grasshopper,12.919,swissporarena,Alessandro Dudic,Spielbericht,
5,Sa.,13.08.2022,18:00,Sion,2–2,Grasshopper,8.600,Stade de Tourbillon,Stefan Horisberger,Spielbericht,
5,Sa.,13.08.2022,20:30,St. Gallen,4–1,Luzern,16.609,Kybunpark,Urs Schnyder,Spielbericht,
5,So.,14.08.2022,14:15,FC Winterthur,1–1,Zürich,8.400,Stadion Schützenwiese,Sandro Schärer,Spielbericht,
5,So.,14.08.2022,16:30,Basel,0–2,Lugano,19.888,St. Jakob-Park,Alessandro Dudic,Spielbericht,
5,So.,14.08.2022,16:30,Young Boys,3–0,Servette FC,26.212,Stadion Wankdorf,Fedayi San,Spielbericht,
6,Sa.,27.08.2022,18:00,Luzern,2–0,Sion,10.067,swissporarena,Alain Bieri,Spielbericht,
6,Sa.,27.08.2022,20:30,Servette FC,3–1,Grasshopper,6.450,Stade de Genève,Sven Wolfensberger,Spielbericht,
6,So.,28.08.2022,14:15,Lugano,2–3,St. Gallen,3.337,Stadio di Cornaredo,Stefan Horisberger,Spielbericht,
6,So.,28.08.2022,16:30,FC Winterthur,1–5,Young Boys,8.400,Stadion Schützenwiese,Anojen Kanagasingam,Spielbericht,
6,So.,28.08.2022,16:30,Zürich,2–4,Basel,19.111,Stadion Letzigrund,Fedayi San,Spielbericht,
7,Sa.,03.09.2022,18:00,Sion,2–1,Basel,11.800,Stade de Tourbillon,Lukas Fähndrich,Spielbericht,
7,Sa.,03.09.2022,20:30,Zürich,1–2,Lugano,10.360,Stadion Letzigrund,Alessandro Dudic,Spielbericht,
7,So.,04.09.2022,14:15,Luzern,0–2,Servette FC,11.946,swissporarena,Urs Schnyder,Spielbericht,
7,So.,04.09.2022,16:30,Grasshopper,3–0,FC Winterthur,8.270,Stadion Letzigrund,Nico Gianforte,Spielbericht,
7,So.,04.09.2022,16:30,St. Gallen,2–1,Young Boys,19.200,Kybunpark,Fedayi San,Spielbericht,
8,Sa.,10.09.2022,18:00,St. Gallen,1–2,Sion,18.579,Kybunpark,Luca Cibelli,Spielbericht,
8,Sa.,10.09.2022,20:30,FC Winterthur,0–6,Luzern,8.400,Stadion Schützenwiese,Johannes von Mandach,Spielbericht,
8,So.,11.09.2022,14:15,Servette FC,3–2,Zürich,10.168,Stade de Genève,Fedayi San,Spielbericht,
8,So.,11.09.2022,16:30,Young Boys,3–0,Lugano,31.120,Stadion Wankdorf,Sven Wolfensberger,Spielbericht,
8,So.,11.09.2022,16:30,Basel,5–1,Grasshopper,22.109,St. Jakob-Park,Alain Bieri,Spielbericht,
9,Sa.,01.10.2022,18:00,Basel,3–2,St. Gallen,2.263,St. Jakob-Park,Sandro Schärer,Spielbericht,
9,Sa.,01.10.2022,20:30,Grasshopper,1–1,Zürich,16.974,Stadion Letzigrund,Lukas Fähndrich,Spielbericht,
9,So.,02.10.2022,14:15,Sion,1–3,FC Winterthur,,Stade de Tourbillon,Mirel Turkes,Spielbericht,
9,So.,02.10.2022,16:30,Luzern,1–2,Young Boys,14.870,swissporarena,Esther Staubli,Spielbericht,
9,So.,02.10.2022,16:30,Lugano,1–0,Servette FC,3.340,Stadio di Cornaredo,Alain Bieri,Spielbericht,
10,Sa.,08.10.2022,18:00,Grasshopper,4–4,Sion,4.474,Stadion Letzigrund,Anojen Kanagasingam,Spielbericht,
10,Sa.,08.10.2022,20:30,Young Boys,2–1,St. Gallen,,Stadion Wankdorf,Urs Schnyder,Spielbericht,
10,So.,09.10.2022,14:15,Servette FC,1–1,Luzern,8.457,Stade de Genève,Fedayi San,Spielbericht,
10,So.,09.10.2022,16:30,Zürich,0–0,FC Winterthur,15.481,Stadion Letzigrund,Luca Piccolo,Spielbericht,
10,So.,09.10.2022,16:30,Lugano,1–0,Basel,3.389,Stadio di Cornaredo,Lukas Fähndrich,Spielbericht,
11,Sa.,15.10.2022,18:00,Sion,2–0,Luzern,9.000,Stade de Tourbillon,Stefan Horisberger,Spielbericht,
11,Sa.,15.10.2022,20:30,FC Winterthur,1–0,Grasshopper,8.400,Stadion Schützenwiese,Luca Cibelli,Spielbericht,
11,So.,16.10.2022,14:15,St. Gallen,1–1,Lugano,17.059,Kybunpark,Sven Wolfensberger,Spielbericht,
11,So.,16.10.2022,16:30,Zürich,0–0,Young Boys,14.565,Stadion Letzigrund,Fedayi San,Spielbericht,
11,So.,16.10.2022,16:30,Servette FC,0–0,Basel,10.482,Stade de Genève,Urs Schnyder,Spielbericht,
12,Di.,18.10.2022,20:30,FC Winterthur,1–0,Sion,8.000,Stadion Schützenwiese,Alessandro Dudic,Spielbericht,
12,Mi.,19.10.2022,20:30,Lugano,1–4,Young Boys,3.307,Stadio di Cornaredo,Sandro Schärer,Spielbericht,
12,Mi.,19.10.2022,20:30,Luzern,3–3,St. Gallen,10.366,swissporarena,Luca Piccolo,Spielbericht,
12,Do.,20.10.2022,20:30,Basel,0–0,Zürich,23.241,St. Jakob-Park,Lukas Fähndrich,Spielbericht,
12,Do.,20.10.2022,20:30,Grasshopper,2–3,Servette FC,3.086,Stadion Letzigrund,Stefan Horisberger,Spielbericht,
13,Sa.,22.10.2022,18:00,Young Boys,1–1,Sion,27.767,Stadion Wankdorf,Urs Schnyder,Spielbericht,
13,Sa.,22.10.2022,20:30,Luzern,3–1,Lugano,10.037,swissporarena,Nico Gianforte,Spielbericht,
13,So.,23.10.2022,14:15,Basel,3–1,FC Winterthur,,St. Jakob-Park,Esther Staubli,Spielbericht,
13,So.,23.10.2022,16:30,St. Gallen,1–1,Servette FC,16.679,Kybunpark,Fedayi San,Spielbericht,
13,So.,23.10.2022,16:30,Zürich,1–4,Grasshopper,15.496,Stadion Letzigrund,Luca Cibelli,Spielbericht,
14,Sa.,29.10.2022,18:00,Grasshopper,1–3,Luzern,5.117,Stadion Letzigrund,Luca Cibelli,Spielbericht,
14,Sa.,29.10.2022,20:30,Servette FC,2–2,Lugano,5.842,Stade de Genève,Lukas Fähndrich,Spielbericht,
14,So.,30.10.2022,14:15,Sion,0–1,Zürich,10.300,Stade de Tourbillon,Alessandro Dudic,Spielbericht,
14,So.,30.10.2022,16:30,Young Boys,3–1,Basel,31.120,Stadion Wankdorf,Sandro Schärer,Spielbericht,
14,So.,30.10.2022,16:30,FC Winterthur,1–0,St. Gallen,8.400,Stadion Schützenwiese,Johannes von Mandach,Spielbericht,
15,Sa.,05.11.2022,18:00,St. Gallen,2–1,Grasshopper,18.517,Kybunpark,Esther Staubli,Spielbericht,
15,Sa.,05.11.2022,20:30,Luzern,1–1,FC Winterthur,11.516,swissporarena,Luca Piccolo,Spielbericht,
15,So.,06.11.2022,14:15,Servette FC,0–0,Young Boys,16.214,Stade de Genève,Urs Schnyder,Spielbericht,
15,So.,06.11.2022,16:30,Lugano,2–0,Zürich,3.560,Stadio di Cornaredo,Sven Wolfensberger,Spielbericht,
15,So.,06.11.2022,16:30,Basel,0–0,Sion,22.889,St. Jakob-Park,Alain Bieri,Spielbericht,
3,Mi.,09.11.2022,20:30,Luzern,0–2,Basel,12.304,swissporarena,Fedayi San,Spielbericht,
16,Sa.,12.11.2022,18:00,Sion,2–7,St. Gallen,10.500,Stade de Tourbillon,Sven Wolfensberger,Spielbericht,
16,Sa.,12.11.2022,20:30,Grasshopper,1–0,Basel,7.153,Stadion Letzigrund,Alessandro Dudic,Spielbericht,
16,So.,13.11.2022,14:15,Zürich,4–1,Servette FC,12.776,Stadion Letzigrund,Mirel Turkes,Spielbericht,
16,So.,13.11.2022,16:30,Young Boys,3–0,Luzern,31.120,Stadion Wankdorf,Alain Bieri,Spielbericht,
16,So.,13.11.2022,16:30,Lugano,3–1,FC Winterthur,3.140,Stadio di Cornaredo,Luca Cibelli,Spielbericht,
17,Sa.,21.01.2023,18:00,Luzern,2–2,Zürich,13.979,swissporarena,Fedayi San,Spielbericht,
17,Sa.,21.01.2023,20:30,Grasshopper,1–2,Young Boys,5.181,Stadion Letzigrund,Luca Cibelli,Spielbericht,
17,So.,22.01.2023,14:15,Sion,2–3,Lugano,6.500,Stade de Tourbillon,Lukas Fähndrich,Spielbericht,
17,So.,22.01.2023,16:30,St. Gallen,1–1,Basel,19.200,Kybunpark,Urs Schnyder,Spielbericht,
18,Sa.,28.01.2023,18:00,Lugano,1–1,Grasshopper,2.841,Stadio di Cornaredo,Fedayi San,Spielbericht,
18,Sa.,28.01.2023,20:30,Basel,2–3,Luzern,19.713,St. Jakob-Park,Luca Cibelli,Spielbericht,
