Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
Grasshoppers,Servette FC,"[1, 3]",2023-07-22 16:00:00,0.0,1.0,0.0
FC ST. Gallen,FC Basel 1893,"[2, 1]",2023-07-22 16:00:00,1.0,0.0,0.0
FC Winterthur,FC Luzern,"[0, 0]",2023-07-22 18:30:00,0.0,0.0,1.0
BSC Young Boys,Lausanne,"[2, 1]",2023-07-23 14:30:00,1.0,0.0,0.0
FC Zurich,Yverdon Sport,"[2, 0]",2023-07-23 14:30:00,1.0,0.0,0.0
Stade Lausanne-Ouchy,FC Lugano,"[0, 3]",2023-07-26 18:30:00,0.0,1.0,0.0
Lausanne,Grasshoppers,"[1, 1]",2023-07-29 16:00:00,0.0,0.0,1.0
FC Lugano,FC ST. Gallen,"[1, 0]",2023-07-29 16:00:00,1.0,0.0,0.0
Servette FC,FC Zurich,"[2, 2]",2023-07-29 18:30:00,0.0,0.0,1.0
FC Luzern,Stade Lausanne-Ouchy,"[2, 1]",2023-07-30 12:15:00,1.0,0.0,0.0
FC Basel 1893,FC Winterthur,"[5, 2]",2023-07-30 14:30:00,1.0,0.0,0.0
Yverdon Sport,BSC Young Boys,"[2, 2]",2023-07-30 14:30:00,0.0,0.0,1.0
Stade Lausanne-Ouchy,Servette FC,"[1, 1]",2023-08-05 16:00:00,0.0,0.0,1.0
BSC Young Boys,FC Winterthur,"[5, 2]",2023-08-05 16:00:00,1.0,0.0,0.0
FC Zurich,FC Lugano,"[3, 0]",2023-08-05 18:30:00,1.0,0.0,0.0
Lausanne,Yverdon Sport,"[1, 2]",2023-08-06 12:15:00,0.0,1.0,0.0
Grasshoppers,FC Basel 1893,"[3, 1]",2023-08-06 14:30:00,1.0,0.0,0.0
FC ST. Gallen,FC Luzern,"[2, 1]",2023-08-06 14:30:00,1.0,0.0,0.0
Stade Lausanne-Ouchy,FC Zurich,"[0, 3]",2023-08-12 16:00:00,0.0,1.0,0.0
FC Winterthur,Grasshoppers,"[3, 1]",2023-08-12 16:00:00,1.0,0.0,0.0
Servette FC,FC ST. Gallen,"[1, 1]",2023-08-12 18:30:00,0.0,0.0,1.0
FC Basel 1893,Lausanne,"[1, 2]",2023-08-13 12:15:00,0.0,1.0,0.0
FC Lugano,Yverdon Sport,"[6, 1]",2023-08-13 14:30:00,1.0,0.0,0.0
FC Luzern,BSC Young Boys,"[1, 1]",2023-08-13 14:30:00,0.0,0.0,1.0
Yverdon Sport,Servette FC,"[4, 1]",2023-08-26 16:00:00,1.0,0.0,0.0
FC Zurich,FC ST. Gallen,"[1, 1]",2023-08-26 16:00:00,0.0,0.0,1.0
BSC Young Boys,Stade Lausanne-Ouchy,,2023-12-06 19:30:00,,,
FC Lugano,FC Basel 1893,,2023-12-06 19:30:00,,,
Grasshoppers,FC Luzern,"[0, 1]",2023-08-27 14:30:00,0.0,1.0,0.0
Lausanne,FC Winterthur,"[2, 5]",2023-08-27 14:30:00,0.0,1.0,0.0
FC ST. Gallen,Lausanne,"[2, 1]",2023-09-02 16:00:00,1.0,0.0,0.0
Stade Lausanne-Ouchy,Grasshoppers,"[2, 1]",2023-09-02 16:00:00,1.0,0.0,0.0
FC Winterthur,Yverdon Sport,"[1, 1]",2023-09-02 18:30:00,0.0,0.0,1.0
Servette FC,BSC Young Boys,"[0, 1]",2023-09-03 12:15:00,0.0,1.0,0.0
FC Basel 1893,FC Zurich,"[2, 2]",2023-09-03 14:30:00,0.0,0.0,1.0
FC Luzern,FC Lugano,"[3, 2]",2023-09-03 14:30:00,1.0,0.0,0.0
Lausanne,FC Zurich,"[0, 0]",2023-09-23 16:00:00,0.0,0.0,1.0
FC Winterthur,Stade Lausanne-Ouchy,"[2, 1]",2023-09-23 16:00:00,1.0,0.0,0.0
Grasshoppers,FC ST. Gallen,"[1, 1]",2023-09-23 18:30:00,0.0,0.0,1.0
Yverdon Sport,FC Basel 1893,"[3, 2]",2023-09-24 12:15:00,1.0,0.0,0.0
FC Luzern,Servette FC,"[2, 0]",2023-09-24 14:30:00,1.0,0.0,0.0
BSC Young Boys,FC Lugano,"[4, 1]",2023-09-24 14:30:00,1.0,0.0,0.0
FC Zurich,Grasshoppers,"[2, 1]",2023-09-26 18:30:00,1.0,0.0,0.0
FC Lugano,Lausanne,"[2, 1]",2023-09-27 18:30:00,1.0,0.0,0.0
Servette FC,FC Winterthur,"[2, 2]",2023-09-27 18:30:00,0.0,0.0,1.0
