Wo,Tag,Datum,Uhrzeit,Heim,Ergebnis,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
29,Sa.,22.04.2023,18:00,FC Winterthur,,Grasshopper,,Stadion Schützenwiese,,Direkter Vergleich,
29,Sa.,22.04.2023,20:30,Young Boys,,Servette FC,,Stadion Wankdorf,,Direkter Vergleich,
29,So.,23.04.2023,14:15,Basel,,Luzern,,St. Jakob-Park,,Direkter Vergleich,
29,So.,23.04.2023,16:30,Zürich,,St. Gallen,,Stadion Letzigrund,,Direkter Vergleich,
29,So.,23.04.2023,16:30,Lugano,,Sion,,Stadio di Cornaredo,,Direkter Vergleich,
30,Di.,25.04.2023,20:30,Grasshopper,,Young Boys,,Stadion Letzigrund,,Direkter Vergleich,
30,Mi.,26.04.2023,20:30,St. Gallen,,Lugano,,Kybunpark,,Direkter Vergleich,
30,Mi.,26.04.2023,20:30,Servette FC,,Zürich,,Stade de Genève,,Direkter Vergleich,
30,Do.,27.04.2023,20:30,Sion,,Basel,,Stade de Tourbillon,,Direkter Vergleich,
30,Do.,27.04.2023,20:30,Luzern,,FC Winterthur,,swissporarena,,Direkter Vergleich,
31,Sa.,29.04.2023,18:00,Servette FC,,St. Gallen,,Stade de Genève,,Direkter Vergleich,
31,Sa.,29.04.2023,20:30,Lugano,,Grasshopper,,Stadio di Cornaredo,,Direkter Vergleich,
31,So.,30.04.2023,14:15,Zürich,,Sion,,Stadion Letzigrund,,Direkter Vergleich,
31,So.,30.04.2023,16:30,Young Boys,,Luzern,,Stadion Wankdorf,,Direkter Vergleich,
31,So.,30.04.2023,16:30,FC Winterthur,,Basel,,Stadion Schützenwiese,,Direkter Vergleich,
32,Sa.,06.05.2023,18:00,Sion,,FC Winterthur,,Stade de Tourbillon,,Direkter Vergleich,
32,Sa.,06.05.2023,20:30,St. Gallen,,Young Boys,,Kybunpark,,Direkter Vergleich,
32,So.,07.05.2023,14:15,Luzern,,Lugano,,swissporarena,,Direkter Vergleich,
32,So.,07.05.2023,16:30,Grasshopper,,Servette FC,,Stadion Letzigrund,,Direkter Vergleich,
32,So.,07.05.2023,16:30,Basel,,Zürich,,St. Jakob-Park,,Direkter Vergleich,
33,Sa.,13.05.2023,18:00,St. Gallen,,Basel,,Kybunpark,,Direkter Vergleich,
33,Sa.,13.05.2023,20:30,Servette FC,,Sion,,Stade de Genève,,Direkter Vergleich,
33,So.,14.05.2023,14:15,Young Boys,,Zürich,,Stadion Wankdorf,,Direkter Vergleich,
33,So.,14.05.2023,16:30,Lugano,,FC Winterthur,,Stadio di Cornaredo,,Direkter Vergleich,
33,So.,14.05.2023,16:30,Grasshopper,,Luzern,,Stadion Letzigrund,,Direkter Vergleich,
34,Sa.,20.05.2023,18:00,FC Winterthur,,Servette FC,,Stadion Schützenwiese,,Direkter Vergleich,
34,Sa.,20.05.2023,20:30,Luzern,,St. Gallen,,swissporarena,,Direkter Vergleich,
34,So.,21.05.2023,14:15,Sion,,Young Boys,,Stade de Tourbillon,,Direkter Vergleich,
34,So.,21.05.2023,16:30,Basel,,Lugano,,St. Jakob-Park,,Direkter Vergleich,
34,So.,21.05.2023,16:30,Zürich,,Grasshopper,,Stadion Letzigrund,,Direkter Vergleich,
35,Do.,25.05.2023,20:00,Sion,,Luzern,,Stade de Tourbillon,,Direkter Vergleich,
35,Do.,25.05.2023,20:00,Servette FC,,Basel,,Stade de Genève,,Direkter Vergleich,
35,Do.,25.05.2023,20:00,Grasshopper,,St. Gallen,,Stadion Letzigrund,,Direkter Vergleich,
35,Do.,25.05.2023,20:00,Lugano,,Young Boys,,Stadio di Cornaredo,,Direkter Vergleich,
35,Do.,25.05.2023,20:00,FC Winterthur,,Zürich,,Stadion Schützenwiese,,Direkter Vergleich,
36,Mo.,29.05.2023,16:30,Young Boys,,FC Winterthur,,Stadion Wankdorf,,Direkter Vergleich,
36,Mo.,29.05.2023,16:30,Basel,,Grasshopper,,St. Jakob-Park,,Direkter Vergleich,
36,Mo.,29.05.2023,16:30,St. Gallen,,Sion,,Kybunpark,,Direkter Vergleich,
36,Mo.,29.05.2023,16:30,Zürich,,Lugano,,Stadion Letzigrund,,Direkter Vergleich,
36,Mo.,29.05.2023,16:30,Luzern,,Servette FC,,swissporarena,,Direkter Vergleich,
